ShapeCurveId,ShapeTemplateId,DesignName,CenterX,CenterY,Radius1,Radius2,StartAngle,EndAngle,Pie,LineType
98,6,B,G + L + Y1 + R13,CG + W + 0 - S2 + R13,R13,R13,135,180,,Cut
99,6,B,G+ (W/2)/(TAN(T6 * (22 / 7) / 180)) - R9,CG + W + D + (W * LOCK_PERCENTAGE %) -  R9,R9,R9,270,0,,Cut
100,6,B,(G + L)- ((W/2)/(TAN(T6 * (22 / 7) / 180)) - R9),CG + W + D + (W * LOCK_PERCENTAGE %) -  R9,R9,R9,180,270,,Cut
101,6,B,G + L + (W/2) + Y1 + X6,CG + W + D + (W * LOCK_PERCENTAGE %) - ((W * LOCK_PERCENTAGE %) - (L/2 - CTBK)) - (((W * LOCK_PERCENTAGE %) - (W/2)/(TAN(T6 * (22 / 7) / 180))) - ((W * LOCK_PERCENTAGE %) - (L/2 - CTBK))) / 2,(((W * LOCK_PERCENTAGE %) - (W/2)/(TAN(T6 * (22 / 7) / 180))) - ((W * LOCK_PERCENTAGE %) - (L/2 - CTBK))) / 2,(((W * LOCK_PERCENTAGE %) - (W/2)/(TAN(T6 * (22 / 7) / 180))) - ((W * LOCK_PERCENTAGE %) - (L/2 - CTBK))) / 2,90,270,,Cut
102,6,B,G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)) + R9,CG + W + D + (W * LOCK_PERCENTAGE %) -  R9,R9,R9,180,270,,Cut
103,6,B,G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)) - R9,CG + W + D + (W * LOCK_PERCENTAGE %) -  R9,R9,R9,270,0,,Cut
104,6,B,G + L +W +L+W-CTBK- (W/2)/(TAN(T63 * (22 / 7) / 180)),CG + W + D + (W * LOCK_PERCENTAGE %) - ((W * LOCK_PERCENTAGE %) - (L/2 - CTBK)) - (((W * LOCK_PERCENTAGE %) - (W/2)/(TAN(T6 * (22 / 7) / 180))) - ((W * LOCK_PERCENTAGE %) - (L/2 - CTBK))) / 2,(((W * LOCK_PERCENTAGE %) - (W/2)/(TAN(T6 * (22 / 7) / 180))) - ((W * LOCK_PERCENTAGE %) - (L/2 - CTBK))) / 2,(((W * LOCK_PERCENTAGE %) - (W/2)/(TAN(T6 * (22 / 7) / 180))) - ((W * LOCK_PERCENTAGE %) - (L/2 - CTBK))) / 2,270,90,,Cut
105,7,A,G + E - R5,CG + W + D + W - R5,R5,R5,270,0,,Cut
106,7,A,G + L - R5,CG + W + D + W - R5,R5,R5,270,0,,Cut
107,7,A,G + L - Y - C,CG + W + D + W + X4,C,C,270,0,,Cut
108,7,A,G + L + W - Y1 - R13,CG + W + D + S2 - R13,R13,R13,315,0,,Cut
109,7,A,G + E - R5,CG + W -W + R5,R5,R5,0,90,,Cut
110,7,A,G + L - R5,CG + W -W + R5,R5,R5,0,90,,Cut
111,7,A,G + L - Y - C,CG + W -W - X4,C,C,0,90,,Cut
112,7,A,G + L + W - Y1 - R13,CG + W + 0 - S2 + R13,R13,R13,0,45,,Cut
113,7,A,G + R5,CG + W -W + R5,R5,R5,90,180,,Cut
114,7,A,G + L - E + R5,CG + W -W + R5,R5,R5,90,180,,Cut
115,7,A,G + Y + C,CG + W -W - X4,C,C,90,180,,Cut
116,7,A,G + L + W + L + Y1 + R13,CG + W + 0 - S2 + R13,R13,R13,135,180,,Cut
117,7,A,G + R5,CG + W + D + W - R5,R5,R5,180,-90,,Cut
118,7,A,G + L - E + R5,CG + W + D + W - R5,R5,R5,180,-90,,Cut
119,7,A,G + Y + C,CG + W + D + W + X4,C,C,180,-90,,Cut
120,7,A,G + L + W + L + Y1 + R13,CG + W + D + S2 - R13,R13,R13,180,-135,,Cut
121,7,B,G+ L + W + E - R5,CG + W + D + W - R5,R5,R5,270,0,,Cut
122,7,B,G + L + W+ L - R5,CG + W + D + W - R5,R5,R5,270,0,,Cut
123,7,B,G+ L + W+ L - Y - C,CG + W + D + W + X4,C,C,270,0,,Cut
124,7,B,G+ L + W+ L + W - Y1 - R13,CG + W + D + S2 - R13,R13,R13,315,0,,Cut
125,7,B,G+ L + W+ E - R5,CG + W -W + R5,R5,R5,0,90,,Cut
126,7,B,G+ L + W+ L - R5,CG + W -W + R5,R5,R5,0,90,,Cut
127,7,B,G + L + W+ L - Y - C,CG + W -W - X4,C,C,0,90,,Cut
128,7,B,G+ L + W+ L + W - Y1 - R13,CG + W + 0 - S2 + R13,R13,R13,0,45,,Cut
129,7,B,G+ L + W + R5,CG + W -W + R5,R5,R5,90,180,,Cut
130,7,B,G+ L + W + L - E + R5,CG + W -W + R5,R5,R5,90,180,,Cut
131,7,B,G + L + W+ Y + C,CG + W -W - X4,C,C,90,180,,Cut
132,7,B,G + L + Y1 + R13,CG + W + 0 - S2 + R13,R13,R13,135,180,,Cut
133,7,B,G+ L + W + R5,CG + W + D + W - R5,R5,R5,180,-90,,Cut
134,7,B,G+ L + W+ L - E + R5,CG + W + D + W - R5,R5,R5,180,-90,,Cut
135,7,B,G+ L + W + Y + C,CG + W + D + W + X4,C,C,180,-90,,Cut
136,7,B,G + L + Y1 + R13,CG + W + D + S2 - R13,R13,R13,180,-135,,Cut
137,8,A,G + E - R5,CG + W + D + W - R5,R5,R5,270,0,,Cut
138,8,A,G + L - R5,CG + W + D + W - R5,R5,R5,270,0,,Cut
139,8,A,G + L - Y - C,CG + W + D + W + X4,C,C,270,0,,Cut
140,8,A,G + L + W - Y1 - R13,CG + W + D + S2 - R13,R13,R13,315,0,,Cut
141,8,A,G + E - R5,CG + W -W + R5,R5,R5,0,90,,Cut
142,8,A,G + L - R5,CG + W -W + R5,R5,R5,0,90,,Cut
143,8,A,G + L - Y - C,CG + W -W - X4,C,C,0,90,,Cut
144,8,A,G + L + W - Y1 - R13,CG + W + 0 - S2 + R13,R13,R13,0,45,,Cut
145,8,A,G + R5,CG + W -W + R5,R5,R5,90,180,,Cut
146,8,A,G + L - E + R5,CG + W -W + R5,R5,R5,90,180,,Cut
147,8,A,G + Y + C,CG + W -W - X4,C,C,90,180,,Cut
148,8,A,G + L + W + L + Y1 + R13,CG + W + 0 - S2 + R13,R13,R13,135,180,,Cut
149,8,A,G + R5,CG + W + D + W - R5,R5,R5,180,-90,,Cut
150,8,A,G + L - E + R5,CG + W + D + W - R5,R5,R5,180,-90,,Cut
151,8,A,G + Y + C,CG + W + D + W + X4,C,C,180,-90,,Cut
152,8,A,G + L + W + L + Y1 + R13,CG + W + D + S2 - R13,R13,R13,180,-135,,Cut
153,8,B,G+ L + W + E - R5,CG + W + D + W - R5,R5,R5,270,0,,Cut
154,8,B,G + L + W+ L - R5,CG + W + D + W - R5,R5,R5,270,0,,Cut
155,8,B,G+ L + W+ L - Y - C,CG + W + D + W + X4,C,C,270,0,,Cut
156,8,B,G+ L + W+ L + W - Y1 - R13,CG + W + D + S2 - R13,R13,R13,315,0,,Cut
157,8,B,G+ L + W+ E - R5,CG + W -W + R5,R5,R5,0,90,,Cut
