ShapeLineId,ShapeTemplateId,DesignName,StartX,StartY,EndX,EndY,Description,LineType
352,4,A,G + L - R5,CG + W + D + W - (CG + W - (W * LOCK_PERCENTAGE %)),G + L - E + R5,CG + W + D + W - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
353,4,A,G + L - E,CG + W + D + W - R5 - (CG + W - (W * LOCK_PERCENTAGE %)),G + L - E,CG + W + D + W - R5 - X5 - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
354,4,A,G + Y + C,CG + W + D + W + X4 + C - (CG + W - (W * LOCK_PERCENTAGE %)),G + L - Y - C,CG + W + D + W + X4 + C - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
355,4,A,G + L,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + N4,CG + W + D + N4 - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
356,4,A,G + L + N4,CG + W + D + N4 - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + N4,CG + W + D + (X4 + W - X6 + C + OFST) / 2 - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
357,4,A,G + L + W,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W - Y1,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
358,4,A,G + L + W - Y1,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W - Y1,CG + W + D + S2 - R13 - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
359,4,A,G + L + W - Y1 - (TempB),CG + W + D + S2 - R13 + (TempP) - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W - Y1 - N - (TempB),CG + W + D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)) - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
360,4,A,G + L + W - Y1 - N - (TempB),CG + W + D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)) - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W - Y1 - N - (TempB) - (((D + A) - (D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)))) * Tan(2 * PI * T7 / 360.0)),CG + W + D + A - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
361,4,A,G + L + W - Y1 - N - (TempB) - (((D + A) - (D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)))) * Tan(2 * PI * T7 / 360.0)),CG + W + D + A - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + N,CG + W + D + A - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
362,4,A,G + L + W + L + W - CTBK,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W + L + W - CTBK - N4,CG + W + D + N4 - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
363,4,A,G + L + W + L + W - CTBK - N4,CG + W + D + N4 - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W + L + W - CTBK - N4,CG + W + D + (X4 + W - X6 + C + OFST) / 2 - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
364,4,A,G + L + W + L,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W + L + Y1,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
365,4,A,G + L + W + L + Y1,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W + L + Y1,CG + W + D + S2 - R13 - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
366,4,A,G + L + W + L + Y1 + (TempB),CG + W + D + S2 - R13 + (TempP) - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W + L + Y1 + N + (TempB),CG + W + D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)) - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
367,4,A,G + L + W + L + Y1 + N + (TempB),CG + W + D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)) - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W + L + Y1 + N + (TempB) + (((D + A) - (D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)))) * Tan(2 * PI * T7 / 360.0)),CG + W + D + A - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
368,4,A,G + L + W + L + Y1 + N + (TempB) + (((D + A) - (D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)))) * Tan(2 * PI * T7 / 360.0)),CG + W + D + A - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W + L + W - CTBK - N,CG + W + D + A - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
369,4,A,G + 0,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)),G + 0,CG + W - (W * LOCK_PERCENTAGE %) - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
370,4,A,G + 0,0,G+ (W/2)/(TAN(T6 * (22 / 7) / 180)) - R9,0,,Cut
371,4,A,G+ (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W - (W * LOCK_PERCENTAGE %) - (CG + W - (W * LOCK_PERCENTAGE %)) + R9,G+ (W/2)/(TAN(T6 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W /2),,Cut
372,4,A,G + L,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)),G + L,CG + W - (W * LOCK_PERCENTAGE %) - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
373,4,A,G + L,0,(G + L)- ((W/2)/(TAN(T6 * (22 / 7) / 180)) - R9),0,,Cut
374,4,A,(G+ L)- (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W - (W * LOCK_PERCENTAGE %) - (CG + W - (W * LOCK_PERCENTAGE %)) + R9,(G + L) - (W/2)/(TAN(T6 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W /2),,Cut
375,4,A,G+ (W/2)/(TAN(T6 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W /2),(G + L) - (W/2)/(TAN(T6 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W /2),,Cut
376,4,A,G + L + Y1,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + (W/2)/(TAN(T63 * (22 / 7) / 180)) - Y1,(W * LOCK_PERCENTAGE %) - (W/2),,Cut
377,4,A,G + L + (W/2)/(TAN(T63 * (22 / 7) / 180)) - Y1,0,G + L + W,0,,Cut
378,4,A,G + L + W,0,G + L + W,(W * LOCK_PERCENTAGE %),,Cut
379,4,A,G + L + W,(W * LOCK_PERCENTAGE %),G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W/2),,Cut
380,4,A,G + L + W + L,(W * LOCK_PERCENTAGE %),G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W/2),,Cut
381,4,A,G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)) - R9,0,G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)) + R9,0,,Cut
382,4,A,G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W/2),G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)),0+R9,,Cut
383,4,A,G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W/2),G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)),0+R9,,Cut
384,4,A,G + L + W + L + Y1,(W * LOCK_PERCENTAGE %),G + L + W + L + Y1,0,,Cut
385,4,A,G + L + W + L + W - CTBK,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)),G + L +W +L+W-CTBK- (W/2)/(TAN(T63 * (22 / 7) / 180)),(W * LOCK_PERCENTAGE %) - (W/2),,Cut
386,4,A,G + L +W +L+W-CTBK- (W/2)/(TAN(T63 * (22 / 7) / 180)),0,G + L + W + L + Y1,0,,Cut
387,4,A,G + L,CG + W - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + Y1,CG + W - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
388,4,A,G + L + W + L,CG + W - (CG + W - (W * LOCK_PERCENTAGE %)),G + L + W + L + CTBK,CG + W - (CG + W - (W * LOCK_PERCENTAGE %)),,Cut
389,4,B,G + 0,CG + W + 0,G + 0,CG + W + D,,Crease
390,4,B,G + L,CG + W + 0,G + L,CG + W + D ,,Crease
391,4,B,G + L + W,CG + W + 0,G + L + W,CG + W + D,,Crease
392,4,B,G + L + W + L,CG + W + 0,G + L + W + L,CG + W + D,,Crease
393,4,B,G + 0,CG + W + D + X4,G + L,CG + W + D + X4,,Crease
394,4,B,G + L + CTBK,CG + W + D,G + L + W,CG + W + D,,Crease
395,4,B,G + L + W + L + Y1,CG + W + D,G + L + W + L + W - CTBK,CG + W + D,,Crease
396,4,B,G + L + Y1,CG + W + 0,G + L + W,CG + W + 0,,Crease
397,4,B,G + L + W,CG + W + 0,G + L + W + L,CG + W + 0,,Crease
398,4,B,G + L + W + L,CG + W + 0,G + L + W + L + W - Y1,CG + W + 0,,Crease
399,4,B,G + L + W + E,CG + W + (-W + R5),G + L + W + L - E,CG + W + (-W + R5),,Crease
400,4,B,G + L + W,CG + W + D,G + L + W + L,CG + W + D,,Crease
401,4,B,G + 0,CG + W + 0,G + L,CG + W + 0,,Cut
402,4,B,(G + L + W + L + W) - CTBK,CG + W + 0,G + (L + W + L + W) - CTBK,CG + W + D,,Cut
403,4,B,G + 0,CG + W + 0,0,CG + W + (Tan(T * (22 / 7) / 180) * G),,Cut
